Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
1746-TGTWV,1,Male,78,No,Yes,No,No,0
8499-BRXTD,1,Female,74,No,Yes,Yes,,1
2041-JIJCI,1,Male,71,No,Yes,No,Yes,3
5832-EXGTT,1,Female,78,No,Yes,Yes,Yes,1
8350-NYMVI,,,80,No,Yes,,Yes,1
7284-BUYEC,1,Female,72,,Yes,,Yes,
3458-IDMFK,1,Female,76,No,Yes,Yes,,
3709-OIJEA,,Male,66,No,Yes,Yes,,0
5066-GFJMM,1,,70,No,,No,Yes,2
6648-INWPS,1,Female,78,No,Yes,,Yes,1
3196-NVXLZ,1,Male,65,,Yes,No,No,0
5939-SXWHM,1,Male,77,No,Yes,Yes,,0
1730-VFMWO,,Male,68,No,Yes,No,No,0
7037-MTYVW,,Female,68,,Yes,No,No,0
6463-HHXJR,1,Male,66,No,Yes,,No,0
4981-FLTMF,1,Male,,No,Yes,Yes,No,0
3522-CDKHF,1,Male,77,No,Yes,Yes,No,
9351-LZYGF,,Female,70,No,Yes,No,No,0
8999-XXGNS,1,Female,74,No,Yes,No,No,0
8443-WVPSS,1,Female,77,No,,No,No,0
9540-JYROE,1,Male,,No,Yes,Yes,No,0
4615-PIVVU,1,,79,No,Yes,Yes,No,0
7401-RUBNK,1,Female,66,No,Yes,Yes,,0
5701-GUXDC,1,Male,77,No,Yes,No,No,
9609-BENEA,1,Female,80,No,Yes,No,No,0
1723-HKXJQ,1,Female,77,No,Yes,No,No,0
0479-HMSWA,1,Female,77,No,Yes,No,No,0
0027-KWYKW,1,Female,72,No,Yes,Yes,,0
7750-EYXWZ,1,Female,80,No,Yes,Yes,No,0
3146-MSEGF,1,Female,68,No,,No,No,
7929-DMBCV,1,Male,75,No,,,No,0
3336-JORSO,1,Male,77,No,,Yes,No,0
3580-REOAC,1,Male,80,No,Yes,Yes,No,0
5614-DNZCE,1,,75,No,Yes,Yes,No,
4334-HOWRP,1,Female,74,No,Yes,No,No,0
2550-AEVRU,1,Male,76,No,Yes,No,No,0
4906-ZHGPK,1,Male,69,No,Yes,,No,0
7207-RMRDB,1,Male,72,No,Yes,Yes,No,0
1591-XWLGB,1,Female,69,No,Yes,No,No,0
2424-WVHPL,1,Male,,No,,No,,
4342-HFXWS,1,Female,65,,Yes,No,No,0
1866-NXPSP,1,Male,74,No,Yes,Yes,No,0
2135-DQWAQ,1,Female,65,No,Yes,No,No,
8207-VVMYB,,Female,66,No,,No,No,0
7469-LKBCI,1,Male,,No,Yes,Yes,No,0
5016-ETTFF,1,Male,65,No,Yes,No,No,
9115-YQHGA,1,Male,69,No,Yes,No,No,0
5792-JALQC,1,Male,75,No,Yes,Yes,,0
8800-JOOCF,1,Female,,,,No,No,0
8883-ANODQ,1,Male,71,No,Yes,No,No,0
1023-BQXZE,1,Male,80,No,Yes,No,No,0
3722-WPXTK,1,Male,,No,,No,No,0
7596-IIWYC,,Male,73,No,Yes,Yes,No,0
3115-CZMZD,1,Male,77,No,Yes,,,
5590-YRFJT,1,Female,76,No,,Yes,No,0
4078-SAYYN,1,,65,No,Yes,,No,0
2884-GBPFB,,Male,75,No,Yes,,No,
0475-RIJEP,1,Male,75,No,Yes,No,No,0
4355-CVPVS,1,Female,68,No,Yes,Yes,,0
8883-GRDWQ,1,Female,71,No,Yes,No,No,0
1657-DYMBM,1,Male,77,No,Yes,No,No,0
1618-CFHME,1,,68,No,Yes,No,No,0
5130-IEKQT,1,Male,74,No,Yes,Yes,No,0
0848-ZGQIJ,1,Male,65,No,Yes,Yes,No,0
6674-KVJHG,1,Female,73,No,Yes,Yes,,0
1090-ESELR,1,Female,74,No,Yes,Yes,No,0
5286-YHCVC,,Male,,No,Yes,No,No,0
7839-NUIAA,1,Female,76,No,Yes,No,No,0
4163-KIUHY,1,Female,73,No,Yes,No,No,0
2212-LYASK,1,Female,70,No,,Yes,No,0
9823-EALYC,1,Male,75,No,Yes,Yes,No,0
5889-JTMUL,1,Male,74,No,Yes,Yes,No,0
2165-VOEGB,1,Male,76,No,,No,No,0
2612-PHGOX,1,Female,75,No,Yes,,No,
9227-YBAXE,1,Female,74,No,Yes,No,No,
7134-MJPDY,1,Female,73,No,Yes,No,No,0
7853-OETYL,1,Female,75,No,Yes,Yes,No,0
6242-MBHPK,,Female,65,No,Yes,No,No,0
1282-IHQAC,1,Female,77,No,Yes,No,No,0
6619-RPLQZ,1,Male,67,No,Yes,No,No,0
5982-FPVQN,1,,78,No,Yes,,No,0
5244-IRFIH,1,,65,,Yes,No,No,
2868-SNELZ,1,Male,70,No,Yes,No,No,0
3841-CONLJ,1,Male,69,No,,No,No,0
7511-YMXVQ,1,Female,76,No,Yes,,No,0
2229-VWQJH,1,Male,71,,Yes,No,No,0
7801-KICAO,1,Female,76,No,Yes,No,No,
0196-JTUQI,,Male,77,No,Yes,Yes,No,0
7124-UGSUR,1,,74,No,Yes,No,No,0
7605-BDWDC,1,Male,77,No,Yes,No,No,0
0014-BMAQU,1,Male,76,No,Yes,Yes,No,0
7248-VZQLC,1,Female,77,No,Yes,No,,0
4316-XCSLJ,1,Female,80,No,Yes,,No,0
4713-LZDRV,1,Male,68,No,Yes,No,No,0
4781-ZXYGU,1,Male,65,No,Yes,No,No,0
7572-KPVKK,1,Male,68,No,,No,No,0
7398-LXGYX,1,Female,72,No,Yes,No,No,0
0799-DDIHE,1,Female,66,No,Yes,No,No,0
9128-CPXKI,1,Male,68,No,Yes,No,,0
7594-LZNWR,1,Male,76,No,Yes,Yes,No,0
9122-UMROB,1,,70,No,Yes,Yes,,0
6557-BZXLQ,1,Male,71,No,Yes,,No,0
4727-MCYZG,,Male,75,No,,No,No,
0661-KBKPA,1,Female,67,No,Yes,No,,0
1544-JJMYL,1,Female,65,No,Yes,,No,0
6178-KFNHS,1,Female,80,No,Yes,No,No,0
0480-BIXDE,,Male,71,No,,Yes,No,0
6797-UCJHZ,1,Female,70,No,Yes,No,No,0
4791-QRGMF,1,Male,73,No,Yes,No,No,0
6979-TNDEU,1,Male,78,No,Yes,,No,0
1535-VTJOQ,1,Female,76,No,,,No,0
8241-JUIQO,1,Female,73,No,Yes,No,No,0
6754-WKSHP,1,Female,68,No,Yes,Yes,No,0
6954-OOYZZ,1,Male,79,No,,No,No,
7136-RVDTZ,1,Female,67,No,Yes,No,No,0
9693-XMUOB,1,Female,69,No,Yes,Yes,No,0
2455-USLMV,1,Female,72,No,Yes,No,No,0
9824-QCJPK,1,Male,75,No,Yes,Yes,No,0
0701-TJSEF,,Male,67,No,Yes,Yes,No,0
2075-PUEPR,1,Male,72,No,Yes,Yes,,0
4450-YOOHP,1,Female,68,No,Yes,No,No,0
3012-VFFMN,1,Female,68,No,Yes,No,No,
6077-BDPXA,1,,75,,,Yes,No,0
4821-WQOYN,1,Male,74,No,Yes,Yes,No,0
9786-YWNHU,1,Female,78,No,Yes,Yes,No,0
4177-JPDFU,1,,66,No,Yes,Yes,No,0
1101-SSWAG,1,Female,73,No,Yes,No,No,0
7609-YBPXG,,Male,79,No,Yes,,No,0
0282-NVSJS,,Male,69,No,Yes,Yes,No,0
1478-VPOAD,1,Female,65,No,Yes,Yes,No,0
6807-SIWJI,1,Female,68,No,Yes,No,No,0
6599-SFQVE,1,Female,79,No,,No,No,0
1157-BQCUW,1,Female,80,No,Yes,No,No,0
5117-IFGPS,1,,65,No,Yes,Yes,No,0
4816-LXZYW,1,Male,66,No,Yes,No,No,0
3411-WLRSQ,1,Male,,No,Yes,No,No,0
1335-MXCSE,1,Female,74,No,Yes,No,No,0
8024-XNAFQ,1,Female,80,No,Yes,No,No,
6519-ZHPXP,1,Male,74,No,Yes,No,No,0
5419-KLXBN,,Male,76,No,Yes,Yes,No,0
4104-PVRPS,1,Female,72,No,Yes,No,No,0
5032-USPKF,1,Female,,No,Yes,No,,0
2777-PHDEI,1,Male,75,No,Yes,No,No,0
7921-BEPCI,1,Male,65,No,Yes,Yes,No,0
2115-BFTIW,1,Male,79,No,Yes,No,No,0
8199-ZLLSA,1,Male,73,No,Yes,No,No,
3134-DSHVC,1,Male,79,No,Yes,No,No,0
3677-TNKIO,1,Female,70,No,Yes,Yes,,0
0774-IFUVM,1,Male,71,No,Yes,No,No,0
9948-YPTDG,1,Male,69,No,Yes,No,No,0
1150-WFARN,1,Female,,No,Yes,No,No,0
5567-GZKQY,1,Male,,No,Yes,Yes,No,0
7748-UMTRK,1,Male,67,,Yes,No,,0
6007-TCTST,1,Male,67,No,Yes,Yes,,0
6897-RWMUB,1,Female,69,No,Yes,No,No,0
7852-LECYP,1,,75,No,,No,No,0
4188-PCPIG,1,Male,67,,,,No,0
6308-CQRBU,1,,66,No,Yes,Yes,No,
1116-DXXDF,1,Female,,No,Yes,No,No,0
0594-UFTUL,1,,,No,Yes,Yes,No,
1088-CNNKB,1,Female,70,No,Yes,No,No,0
5440-VHLUL,1,Male,76,No,Yes,Yes,No,
9541-PWTWO,,,67,No,Yes,,No,0
8564-LDKFL,1,Male,80,No,Yes,No,No,
5808-TOTXO,1,Female,68,No,Yes,Yes,,0
6925-BAYGL,1,,80,No,Yes,No,,0
9938-EKRGF,1,Female,73,No,Yes,Yes,No,0
6898-MDLZW,1,Male,73,No,Yes,No,No,0
2982-IHMFT,1,Male,78,No,Yes,Yes,No,0
1228-FZFRV,1,Male,68,,Yes,,No,0
6407-UTSLV,1,Male,65,No,Yes,Yes,,0
8039-EQPIM,1,Male,67,No,Yes,No,No,0
4226-KKDON,,,70,No,Yes,No,No,0
4124-MMETB,1,,69,No,Yes,Yes,No,
6994-KERXL,1,Female,73,No,,No,No,0
1501-SGHBW,1,Male,74,No,,No,,
1422-DGUBX,1,Female,78,,Yes,No,No,0
2275-RBYQS,,Male,,No,Yes,Yes,No,0
7551-DACSP,,Female,78,,Yes,,No,0
9101-BWFSS,1,Female,75,No,Yes,No,,
2302-OUZXB,1,Female,75,No,Yes,,No,0
6784-XYJAE,1,Male,76,,Yes,No,,0
9696-RMYBA,1,Male,70,,Yes,Yes,No,0
5176-OLSKT,1,Male,67,No,Yes,Yes,,0
9626-VFRGG,1,Female,69,No,Yes,No,No,0
7883-ROJOC,1,Female,70,No,Yes,Yes,No,
2085-JVGAD,1,Male,74,No,Yes,Yes,No,0
1016-DJTSV,1,Female,77,,Yes,No,No,0
7593-JNWRU,1,Male,66,No,Yes,Yes,No,0
7270-BDIOA,1,Male,70,No,Yes,,No,0
1047-NNCBF,1,Female,68,No,Yes,No,No,0
5062-CJJKH,1,Female,,No,,No,No,0
6645-MXQJT,1,,,No,Yes,No,No,0
4702-HDRKD,,Male,73,No,Yes,No,,0
1430-SFQSA,1,,70,No,Yes,No,No,0
8067-NIOYM,1,Female,68,No,Yes,No,No,0
0582-AVCLN,1,Female,77,No,Yes,No,No,0
9971-ZWPBF,1,Female,,No,Yes,No,No,0
8421-WZOOW,1,Male,71,No,Yes,Yes,No,0
0495-ZBNGW,1,Male,69,No,Yes,Yes,No,0
5884-FBCTL,1,Male,80,No,,Yes,No,0
8200-KLNYW,1,Male,66,No,Yes,Yes,,0
6584-VQMYT,1,Male,79,,Yes,No,No,0
5843-TTHGI,1,Male,80,No,Yes,No,No,0
3729-OWRVL,1,Female,78,No,Yes,No,No,
2957-LOLHO,1,Female,67,No,Yes,Yes,,
6339-DKLMK,,Male,73,No,Yes,No,No,0
1135-LMECX,,Male,75,No,Yes,No,No,0
7180-PISOG,1,Male,67,,Yes,No,No,0
3137-LUPIX,1,Female,,,Yes,No,No,0
6952-OMNWB,1,Male,,,Yes,Yes,No,
4302-ZYFEL,1,Male,72,No,Yes,Yes,No,0
4077-CROMM,1,Female,70,No,Yes,Yes,No,
1596-BBVTG,1,Female,73,,,Yes,,0
7217-JYHOQ,1,Female,75,No,Yes,Yes,No,0
6086-ESGRL,1,Male,70,No,Yes,Yes,No,0
8884-FEEWR,,Female,77,No,,No,No,0
8755-OGKNA,,Female,78,No,Yes,No,,0
5501-TVMGM,1,Female,69,No,Yes,No,No,0
4138-NAXED,1,Male,,No,Yes,No,No,0
3061-BCKYI,1,Male,,No,Yes,No,No,0
3211-AAPKX,1,,71,No,Yes,,No,0
2778-OCLGR,,,71,No,Yes,,No,
7439-DKZTW,,,79,No,Yes,No,No,0
0354-WYROK,1,Female,,No,Yes,No,No,0
3778-FOAQW,1,Male,65,No,Yes,No,No,0
7766-CLTIC,1,Female,70,No,Yes,No,No,
3889-VWBID,1,,80,,Yes,Yes,,0
3976-NLDEZ,,Male,77,No,Yes,Yes,No,0
3181-MIZBN,1,Male,65,No,Yes,Yes,No,0
7602-MVRMB,1,Male,,No,,Yes,No,0
0396-UKGAI,1,Male,70,No,Yes,,No,0
2482-CZGBB,1,Female,69,No,Yes,No,No,0
7017-VFULY,1,Female,,No,Yes,,No,0
7032-LMBHI,1,,75,No,Yes,Yes,No,0
5707-ORNDZ,1,Female,67,No,Yes,No,No,0
8626-PTQGE,1,Female,74,No,Yes,No,No,0
0621-CXBKL,1,Female,74,No,Yes,No,No,
4598-ZADCK,1,,,No,Yes,Yes,,0
0942-KOWSM,1,Female,74,,Yes,Yes,No,0
0214-JHPFW,1,Female,69,No,Yes,Yes,No,0
9534-NSXEM,1,Female,79,No,Yes,,No,0
4090-KPJIP,1,Female,76,No,Yes,,No,0
6609-MXJHJ,1,Male,78,No,,Yes,No,0
1597-FZREH,1,Female,79,No,Yes,,No,0
1952-DVVSW,1,,74,No,Yes,Yes,No,0
2685-SREOM,1,Male,73,No,,,No,0
2007-QVGAW,1,Male,71,No,Yes,Yes,No,0
1583-IHQZE,1,Female,68,No,Yes,Yes,,
2696-NARTR,1,Female,70,No,Yes,No,No,
1472-TNCWL,1,,66,No,,No,No,0
1897-RCFUM,1,Male,,No,Yes,No,No,0
7321-ZNSLA,1,Male,78,No,Yes,No,No,0
8016-ZMGMO,1,Female,74,No,Yes,No,No,0
2869-ADAWR,1,,78,No,Yes,Yes,No,0
5472-CVMDX,1,,79,No,Yes,No,,
4816-OKWNX,1,,67,No,Yes,No,No,0
0932-YIXYU,1,Female,80,No,Yes,No,,0
4299-OPXEJ,1,Male,77,No,Yes,No,No,0
3363-DTIVD,,Male,74,No,Yes,,No,0
1066-JKSGK,1,Female,76,,,Yes,No,0
8865-TNMNX,1,Female,78,No,Yes,Yes,No,
6214-EDAKZ,1,Female,78,No,Yes,Yes,No,0
5499-ECUTN,1,Male,,No,Yes,No,No,
0402-CQAJN,1,Female,69,No,Yes,,No,0
6048-QBXKL,1,Female,74,No,Yes,No,,0
0983-TATYJ,1,Female,68,No,Yes,,,0
4070-OKWVH,1,Female,68,No,Yes,No,No,0
0657-DOGUM,1,Female,68,No,Yes,No,No,
4378-BZYFP,,Female,75,No,Yes,No,No,0
2359-KMGLI,1,Male,73,No,Yes,,No,0
0795-GMVQO,1,Female,72,No,,No,No,0
9821-POOTN,,Female,68,No,Yes,Yes,No,0
3736-BLEPA,1,Female,74,,,,No,0
7682-AZNDK,1,,71,No,Yes,Yes,No,0
8404-VIOMB,1,Male,75,No,Yes,Yes,No,0
1724-BQUHA,1,Female,66,No,Yes,Yes,No,0
1763-KUAAW,1,Male,76,No,Yes,No,No,0
6413-XKKPU,1,Male,78,No,Yes,No,No,0
2386-OWURY,1,Male,,No,Yes,No,No,
7716-YTYHG,1,Female,78,No,Yes,No,No,0
4430-YHXGG,1,,71,,Yes,No,No,0
5693-PIPCS,1,Female,76,,Yes,Yes,No,
3146-JTQHR,1,Male,75,No,Yes,Yes,No,0
7966-YOTQW,1,Female,75,No,Yes,No,No,0
2812-SFXMJ,1,Male,69,No,Yes,No,No,0
5144-PQCDZ,1,Female,66,No,Yes,No,No,0
4672-FOTSD,1,Male,65,No,Yes,No,,0
6999-CHVCF,1,Female,,No,Yes,Yes,No,0
3078-ZKNTS,1,Female,66,No,Yes,Yes,No,0
6650-VJONK,1,Male,77,No,Yes,Yes,No,
7508-KBIMB,1,Female,66,No,Yes,,No,
5839-SUYVZ,1,Female,80,No,Yes,No,No,
3055-MJDSB,1,Male,68,No,Yes,No,,0
5343-SGUBI,1,Male,78,No,Yes,Yes,,
0813-TAXXS,1,Male,74,No,Yes,No,No,0
4489-SNOJF,1,Female,74,No,Yes,Yes,No,0
8073-IJDCM,,,65,No,Yes,No,No,0
6769-DYBQN,1,Female,70,No,Yes,No,No,0
2789-HQBOU,1,,70,No,Yes,,No,0
8915-NNTRC,1,Male,75,No,Yes,No,No,0
3173-WSSUE,1,Male,70,No,Yes,No,No,0
5553-AOINX,1,Male,71,No,Yes,Yes,No,0
6432-TWQLB,1,Female,79,,Yes,,No,
5208-FVQKB,1,Female,73,No,Yes,Yes,No,0
6295-OSINB,1,Female,,No,Yes,Yes,No,0
1814-WFGVS,1,Female,80,No,Yes,Yes,No,0
7779-LGOVN,1,Male,69,No,Yes,Yes,No,0
4236-UJPWO,1,Male,73,No,Yes,,No,0
8473-VUVJN,1,Female,79,No,Yes,No,No,0
1452-UZOSF,1,Female,67,No,Yes,Yes,No,
0118-JPNOY,1,Male,72,No,Yes,Yes,No,0
7801-CEDNV,1,,75,No,Yes,,No,0
6349-JDHQP,1,Male,,No,Yes,No,No,0
7021-XSNYE,1,Female,,No,Yes,No,No,
7184-LRUUR,1,Female,77,No,,Yes,No,0
1482-OXZSY,1,Female,67,No,Yes,No,No,0
3199-XGZCY,1,Male,67,No,Yes,No,No,0
