index,Customer ID,Age,Senior Citizen,Latitude,Longitude,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
0,0650-BWOZN,37.0,No,34.159007,-117.199424,1.0,No,0.0,35.0,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,One Year,3030.6,0.0,0.0,892.85,3923.45,Competitor
1,9720-JJJOR,41.0,No,39.672813,-120.456699,4.0,Yes,8.0,68.0,Yes,Yes,No,None,No,No,No,No,No,Two Year,1911.5,0.0,80.0,1164.16,3075.66,No Churn
2,5236-PERKL,22.0,No,39.461768,-117.199424,1.0,No,0.0,2.0,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Month-to-Month,181.5,0.0,0.0,80.86,262.36,Competitor
5,3279-DYZQM,32.0,No,37.624436,-119.224666,5.0,No,10.0,27.0,No,No,Yes,Fiber Optic,Yes,No,No,No,No,One Year,371.4,0.0,10.0,2427.85,4735.0,No Churn
6,3996-ZNWYK,61.0,No,34.15136,-118.421314,3.0,Yes,10.0,16.0,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Two Year,1114.85,0.0,0.0,321.92,1436.77,No Churn
8,5229-PRWKT,49.0,No,37.540582,-118.451629,5.0,No,1.0,23.0,Yes,Yes,Yes,None,No,Yes,No,Yes,Yes,Month-to-Month,559.2,0.0,0.0,2599.0800000000004,2010.84,No Churn
10,1764-VUUMT,29.0,No,34.044271,-120.106169,1.0,No,3.0,3.0,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Month-to-Month,4750.95,0.0,0.0,2259.06,227.46,Dissatisfaction
11,7531-GQHME,47.0,No,34.613476,-118.256358,4.0,Yes,1.0,10.0,Yes,Yes,No,None,No,Yes,No,Yes,Yes,Month-to-Month,804.25,0.0,0.0,35.31,2686.71,No Churn
13,7516-GMHUV,55.0,Yes,40.936285,-121.572692,4.0,No,4.0,35.0,Yes,No,Yes,None,Yes,No,No,No,Yes,Two Year,3801.3,0.0,0.0,669.84,2960.12,No Churn
15,2120-SMPEX,39.0,No,33.723579,-118.005441,1.0,No,2.0,17.0,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,4750.95,0.0,0.0,373.56,6753.619999999999,Dissatisfaction
17,0496-AHOOK,80.0,Yes,36.125529,-120.864443,1.0,No,1.0,4.0,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Month-to-Month,169.05,0.0,0.0,121.76,316.92,Competitor
