Customer ID,Age,Senior Citizen,Latitude,Longitude,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
0562-FGDCR,54.0,No,34.903052,-118.411251,1.0,No,0.0,1.0,Yes,No,Yes,Cable,No,No,No,No,Yes,Month-to-Month,35.9,0.0,0.0,0.0,35.9,Competitor
6688-UZPWD,24.0,No,33.721917,-118.043237,3.0,Yes,4.0,35.0,Yes,No,No,None,No,No,No,No,No,One Year,746.75,0.0,0.0,1435.7,2182.45,No Churn
2905-KFQUV,23.0,No,37.305622,-122.000887,3.0,No,0.0,7.0,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Month-to-Month,544.55,0.0,10.0,151.06,705.61,Competitor
8200-LGKSR,33.0,No,33.958149,-118.308441,3.0,No,0.0,36.0,Yes,No,No,None,No,No,No,No,No,Two Year,689.0,0.0,0.0,306.0,995.0,No Churn
9500-LTVBP,46.0,No,37.573633,-122.455167,3.0,Yes,3.0,28.0,Yes,Yes,Yes,None,Yes,No,Yes,No,No,One Year,876.75,0.0,0.0,301.08,1177.83,No Churn
4377-VDHYI,50.0,No,37.505768,-121.962472,4.0,Yes,5.0,35.0,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,One Year,3165.6,0.0,0.0,53.549805,3219.15,No Churn
5197-PYEPU,64.0,No,33.507255,-117.029473,2.0,Yes,2.0,40.0,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Month-to-Month,3303.05,0.0,0.0,81.2,3384.25,Competitor
2805-AUFQN,50.0,No,38.672638,-121.147403,5.0,No,0.0,28.0,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,One Year,2078.2188,0.0,0.0,383.32,2866.97,No Churn
0841-NULXI,28.0,No,39.084645,-120.894014,3.0,Yes,1.0,71.0,Yes,Yes,No,None,No,No,No,No,Yes,Two Year,1397.3,0.0,0.0,1454.79,2852.09,No Churn
0263-FJTQO,63.0,No,37.830267,-121.201018,3.0,Yes,0.0,60.0,Yes,Yes,Yes,None,No,No,No,No,No,Month-to-Month,1505.05,0.0,0.0,2364.6,3869.65,No Churn
1820-TQVEV,74.0,Yes,34.70434,-120.02609,4.0,Yes,2.0,28.0,Yes,Yes,Yes,Cable,No,No,Yes,Yes,Yes,One Year,2106.3,0.0,0.0,419.22,2525.52,No Churn
9779-DPNEJ,65.0,Yes,40.524535,-122.647172,3.0,No,0.0,46.0,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,One Year,3255.35,0.0,0.0,737.84,3993.19,No Churn
8409-WQJUX,73.0,Yes,33.881158,-117.854783,3.0,Yes,10.0,72.0,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Two Year,6735.05,0.0,0.0,96.48,6831.53,No Churn
7493-TPUWZ,77.0,Yes,33.653338,-117.178271,5.0,Yes,1.0,29.0,Yes,Yes,Yes,DSL,No,No,No,No,Yes,One Year,1442.0,0.0,0.0,1091.8501,2533.85,No Churn
6230-BSUXY,34.0,No,33.60693,-117.644253,3.0,No,0.0,1.0,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,70.15,0.0,6.6882515,2.24,79.078255,Competitor
7207-RMRDB,72.0,Yes,36.15254796653061,-117.134917,3.0,Yes,1.0,33.0,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,402.4375,0.0,0.0,3619.8525,4022.29,Other
4797-AXPXK,24.0,No,36.635661,-120.288644,3.0,Yes,7.0,36.0,Yes,Yes,Yes,Cable,Yes,No,Yes,No,Yes,Two Year,3379.25,0.0,0.0,1459.44,4838.69,No Churn
6164-HAQTX,24.0,No,41.163637,-123.704841,4.0,Yes,9.0,72.0,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two Year,3754.0,0.0,80.0,0.0,4558.85,No Churn
3671-SHRSP,63.0,No,37.497915,-122.267361,5.0,Yes,0.0,28.0,Yes,No,No,None,No,No,No,No,No,One Year,96.8,0.0,0.0,347.62,444.42,No Churn
6101-IMRMM,24.0,No,38.581354,-122.296283,3.0,Yes,1.0,33.0,Yes,Yes,No,None,No,No,No,No,No,Two Year,740.3,35.05,0.0,1165.23,1870.48,Price
7131-ZQZNK,20.0,No,33.902045,-118.008961,3.0,Yes,1.0,7.0,Yes,No,Yes,DSL,Yes,No,No,No,Yes,Month-to-Month,350.35,0.0,0.0,179.48,529.83,No Churn
